/a0 X,/a0 Y,/a1 X,/a1 Y,/a2 X,/a2 Y,/a3 X,/a3 Y,/b0 X,/b0 Y,/b1 X,/b1 Y,/b2 X,/b2 Y,/b3 X,/b3 Y,/s0 X,/s0 Y,/s1 X,/s1 Y,/s2 X,/s2 Y,/s3 X,/s3 Y,/a4 X,/a4 Y,/a5 X,/a5 Y,/a6 X,/a6 Y,/a7 X,/a7 Y,/b4 X,/b4 Y,/b5 X,/b5 Y,/b6 X,/b6 Y,/b7 X,/b7 Y,/cout X,/cout Y,/s4 X,/s4 Y,/s5 X,/s5 Y,/s6 X,/s6 Y,/s7 X,/s7 Y
2.189073654357231e-09,1,2.189073654357231e-09,0,2.189073654357231e-09,0,2.189073654357231e-09,0,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,-1.158065373523762e-07,2.189073654357231e-09,0.03289822680690687,2.189073654357231e-09,0.9282648672679584,2.189073654357231e-09,0.9783781473813528,2.189073654357231e-09,1,2.189073654357231e-09,0,2.189073654357231e-09,0,2.189073654357231e-09,0,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,1,2.189073654357231e-09,5.751416363102526e-08,2.189073654357231e-09,-2.701408593931042e-07,2.189073654357231e-09,0.03289822683933798,2.189073654357231e-09,0.9282650307896924,2.189073654357231e-09,0.97837815641244
2.190873168354986e-09,1,2.190873168354986e-09,0,2.190873168354986e-09,0,2.190873168354986e-09,0,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,-1.427523909288522e-06,2.190873168354986e-09,0.0280428954993073,2.190873168354986e-09,0.9451832331657382,2.190873168354986e-09,0.9832459276287342,2.190873168354986e-09,1,2.190873168354986e-09,0,2.190873168354986e-09,0,2.190873168354986e-09,0,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,1,2.190873168354986e-09,7.038617127802424e-08,2.190873168354986e-09,-1.750888861143823e-06,2.190873168354986e-09,0.02804289552717065,2.190873168354986e-09,0.9451833561121223,2.190873168354986e-09,0.9832459347381792
2.192641711320985e-09,1,2.192641711320985e-09,0,2.192641711320985e-09,0,2.192641711320985e-09,0,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,-2.392420574938967e-06,2.192641711320985e-09,0.02367445601510261,2.192641711320985e-09,0.9577527606971622,2.192641711320985e-09,0.9869309929613459,2.192641711320985e-09,1,2.192641711320985e-09,0,2.192641711320985e-09,0,2.192641711320985e-09,0,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,1,2.192641711320985e-09,6.771504860679862e-08,2.192641711320985e-09,-2.747481496439282e-06,2.192641711320985e-09,0.0236744560623927,2.192641711320985e-09,0.9577528540093381,2.192641711320985e-09,0.9869309987283312
2.194421202696796e-09,1,2.194421202696796e-09,0,2.194421202696796e-09,0,2.194421202696796e-09,0,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,-3.492296395919313e-06,2.194421202696796e-09,0.0198964864250345,2.194421202696796e-09,0.9673882199723509,2.194421202696796e-09,0.9898043649964201,2.194421202696796e-09,1,2.194421202696796e-09,0,2.194421202696796e-09,0,2.194421202696796e-09,0,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,1,2.194421202696796e-09,5.417779436918418e-08,2.194421202696796e-09,-3.66252955967366e-06,2.194421202696796e-09,0.01989648648724566,2.194421202696796e-09,0.967388291234056,2.194421202696796e-09,0.9898043697034692
2.196353893141812e-09,1,2.196353893141812e-09,0,2.196353893141812e-09,0,2.196353893141812e-09,0,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,-3.234432344011569e-06,2.196353893141812e-09,0.01651740733959575,2.196353893141812e-09,0.9753071768372388,2.196353893141812e-09,0.992200955989989,2.196353893141812e-09,1,2.196353893141812e-09,0,2.196353893141812e-09,0,2.196353893141812e-09,0,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,1,2.196353893141812e-09,4.281059037544325e-08,2.196353893141812e-09,-2.878092946012086e-06,2.196353893141812e-09,0.01651740740659225,2.196353893141812e-09,0.9753072300433527,2.196353893141812e-09,0.9922009597755427
2.198569123685939e-09,1,2.198569123685939e-09,0,2.198569123685939e-09,0,2.198569123685939e-09,0,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,-1.432065038660915e-06,2.198569123685939e-09,0.01346480977127365,2.198569123685939e-09,0.9819961630664524,2.198569123685939e-09,0.9942568528750386,2.198569123685939e-09,1,2.198569123685939e-09,0,2.198569123685939e-09,0,2.198569123685939e-09,0,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,1,2.198569123685939e-09,4.114889589255142e-08,2.198569123685939e-09,-6.044818070334276e-07,2.198569123685939e-09,0.01346480980590234,2.198569123685939e-09,0.9819962014980116,2.198569123685939e-09,0.9942568552094724
2.200486235319321e-09,1,2.200486235319321e-09,0,2.200486235319321e-09,0,2.200486235319321e-09,0,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,-2.798448600930124e-07,2.200486235319321e-09,0.01140126659096163,2.200486235319321e-09,0.9862655617659937,2.200486235319321e-09,0.995582801068877,2.200486235319321e-09,1,2.200486235319321e-09,0,2.200486235319321e-09,0,2.200486235319321e-09,0,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,1,2.200486235319321e-09,4.794889392718888e-08,2.200486235319321e-09,4.933107514889364e-07,2.200486235319321e-09,0.0114012665926357,2.200486235319321e-09,0.9862655907262582,2.200486235319321e-09,0.9955828021003621
2.202618427888149e-09,1,2.202618427888149e-09,0,2.202618427888149e-09,0,2.202618427888149e-09,0,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,4.277026121526737e-07,2.202618427888149e-09,0.009585973211373536,2.202618427888149e-09,0.9898538350952207,2.202618427888149e-09,0.9966985664574681,2.202618427888149e-09,1,2.202618427888149e-09,0,2.202618427888149e-09,0,2.202618427888149e-09,0,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,1,2.202618427888149e-09,7.1119693723821e-08,2.202618427888149e-09,9.697519933140862e-07,2.202618427888149e-09,0.00958597322238292,2.202618427888149e-09,0.9898538565059296,2.202618427888149e-09,0.9966985670767998
2.204337138933063e-09,1,2.204337138933063e-09,0,2.204337138933063e-09,0,2.204337138933063e-09,0,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,9.726157269405825e-07,2.204337138933063e-09,0.008409309875170306,2.204337138933063e-09,0.9920781577382736,2.204337138933063e-09,0.9973834167840013,2.204337138933063e-09,1,2.204337138933063e-09,0,2.204337138933063e-09,0,2.204337138933063e-09,0,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,1,2.204337138933063e-09,1.000263144277787e-07,2.204337138933063e-09,1.325420021185834e-06,2.204337138933063e-09,0.008409309901026009,2.204337138933063e-09,0.9920781744041104,2.204337138933063e-09,0.9973834175446402
2.206203123539213e-09,1,2.206203123539213e-09,0,2.206203123539213e-09,0,2.206203123539213e-09,0,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1.728419003038638e-06,2.206203123539213e-09,0.007362681027787084,2.206203123539213e-09,0.9939757834750579,2.206203123539213e-09,0.9979668172739008,2.206203123539213e-09,1,2.206203123539213e-09,0,2.206203123539213e-09,0,2.206203123539213e-09,0,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1,2.206203123539213e-09,1.202372375948064e-07,2.206203123539213e-09,1.978626656385772e-06,2.206203123539213e-09,0.007362681064663756,2.206203123539213e-09,0.9939757964008006,2.206203123539213e-09,0.99796681817157
2.208388811699418e-09,1,2.208388811699418e-09,0,2.208388811699418e-09,0,2.208388811699418e-09,0,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,2.679465913751213e-06,2.208388811699418e-09,0.006385755367774876,2.208388811699418e-09,0.9956791421373512,2.208388811699418e-09,0.9984838288205098,2.208388811699418e-09,1,2.208388811699418e-09,0,2.208388811699418e-09,0,2.208388811699418e-09,0,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,1,2.208388811699418e-09,1.13169251327318e-07,2.208388811699418e-09,2.865166732995461e-06,2.208388811699418e-09,0.006385755401185443,2.208388811699418e-09,0.9956791515615337,2.208388811699418e-09,0.9984838297378665
2.210569201633907e-09,1,2.210569201633907e-09,0,2.210569201633907e-09,0,2.210569201633907e-09,0,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,2.947191254590304e-06,2.210569201633907e-09,0.005625304144102145,2.210569201633907e-09,0.9969350620300392,2.210569201633907e-09,0.9988677495360667,2.210569201633907e-09,1,2.210569201633907e-09,0,2.210569201633907e-09,0,2.210569201633907e-09,0,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,1,2.210569201633907e-09,4.371193314057511e-08,2.210569201633907e-09,2.942345966565472e-06,2.210569201633907e-09,0.005625304163862544,2.210569201633907e-09,0.9969350691001473,2.210569201633907e-09,0.9988677502583521
2.212841794134127e-09,1,2.212841794134127e-09,0,2.212841794134127e-09,0,2.212841794134127e-09,0,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,2.55222628205475e-06,2.212841794134127e-09,0.005004518081951852,2.212841794134127e-09,0.9973991852238097,2.212841794134127e-09,0.9991620508068852,2.212841794134127e-09,1,2.212841794134127e-09,0,2.212841794134127e-09,0,2.212841794134127e-09,0,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,1,2.212841794134127e-09,-4.371246472785217e-08,2.212841794134127e-09,2.335845007283295e-06,2.212841794134127e-09,0.005004518101804524,2.212841794134127e-09,0.9973991902638542,2.212841794134127e-09,0.9991620513393666
2.214439563099409e-09,1,2.214439563099409e-09,0,2.214439563099409e-09,0,2.214439563099409e-09,0,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,2.106869105345184e-06,2.214439563099409e-09,0.004650788921612215,2.214439563099409e-09,0.9971884931746414,2.214439563099409e-09,0.9993222351870239,2.214439563099409e-09,1,2.214439563099409e-09,0,2.214439563099409e-09,0,2.214439563099409e-09,0,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,1,2.214439563099409e-09,1.310176719234293e-08,2.214439563099409e-09,1.809839061708245e-06,2.214439563099409e-09,0.004650788946695201,2.214439563099409e-09,0.9971884972741335,2.214439563099409e-09,0.9993222355493926
