/c0 X,/c0 Y,/p0 X,/p0 Y,/g1 X,/g1 Y,/p1 X,/p1 Y,/g2 X,/g2 Y,/p2 X,/p2 Y,/g3 X,/g3 Y,/p3 X,/p3 Y,/c4 X,/c4 Y,/c3 X,/c3 Y,/c2 X,/c2 Y,/c1 X,/c1 Y,/g0 X,/g0 Y
1.500020568431743e-08,1,1.500020568431743e-08,1,1.500020568431743e-08,0,1.500020568431743e-08,0,1.500020568431743e-08,1,1.500020568431743e-08,0,1.500020568431743e-08,0,1.500020568431743e-08,0,1.500020568431743e-08,7.537557237438315e-05,1.500020568431743e-08,0.0004774722891668767,1.500020568431743e-08,9.368399168678906e-07,1.500020568431743e-08,0.0002118793256965889,1.500020568431743e-08,0
1.500020929291675e-08,1,1.500020929291675e-08,1,1.500020929291675e-08,0,1.500020929291675e-08,0,1.500020929291675e-08,1,1.500020929291675e-08,0,1.500020929291675e-08,0,1.500020929291675e-08,0,1.500020929291675e-08,7.673640519233244e-05,1.500020929291675e-08,0.0004851062588067125,1.500020929291675e-08,9.528011129752891e-07,1.500020929291675e-08,0.0002141879411418005,1.500020929291675e-08,0
1.500021651011541e-08,1,1.500021651011541e-08,1,1.500021651011541e-08,0,1.500021651011541e-08,0,1.500021651011541e-08,1,1.500021651011541e-08,0,1.500021651011541e-08,0,1.500021651011541e-08,0,1.500021651011541e-08,7.947264731087569e-05,1.500021651011541e-08,0.0005003311140822197,1.500021651011541e-08,9.850783280724697e-07,1.500021651011541e-08,0.0002194776792776494,1.500021651011541e-08,0
1.500021791269201e-08,1,1.500021791269201e-08,1,1.500021791269201e-08,0,1.500021791269201e-08,0,1.500021791269201e-08,1,1.500021791269201e-08,0,1.500021791269201e-08,0,1.500021791269201e-08,0,1.500021791269201e-08,8.000689245963142e-05,1.500021791269201e-08,0.0005032845973083054,1.500021791269201e-08,9.914038448379719e-07,1.500021791269201e-08,0.0002205557490434328,1.500021791269201e-08,0
1.500022071784523e-08,1,1.500022071784523e-08,1,1.500022071784523e-08,0,1.500022071784523e-08,0,1.500022071784523e-08,1,1.500022071784523e-08,0,1.500022071784523e-08,0,1.500022071784523e-08,0,1.500022071784523e-08,8.107806941947269e-05,1.500022071784523e-08,0.0005091898592229335,1.500022071784523e-08,1.004056616747754e-06,1.500022071784523e-08,0.0002227275366134303,1.500022071784523e-08,0
1.500022157919794e-08,1,1.500022157919794e-08,1,1.500022157919794e-08,0,1.500022157919794e-08,0,1.500022157919794e-08,1,1.500022157919794e-08,0,1.500022157919794e-08,0,1.500022157919794e-08,0,1.500022157919794e-08,8.140809812984024e-05,1.500022157919794e-08,0.0005110061662813356,1.500022157919794e-08,1.007933217100779e-06,1.500022157919794e-08,0.0002233972799185766,1.500022157919794e-08,0
1.500022330190338e-08,1,1.500022330190338e-08,1,1.500022330190338e-08,0,1.500022330190338e-08,0,1.500022330190338e-08,1,1.500022330190338e-08,0,1.500022330190338e-08,0,1.500022330190338e-08,0,1.500022330190338e-08,8.206895553006124e-05,1.500022330190338e-08,0.0005146351107651474,1.500022330190338e-08,1.015639340449834e-06,1.500022330190338e-08,0.0002247409021066546,1.500022330190338e-08,0
1.500022605803473e-08,1,1.500022605803473e-08,1,1.500022605803473e-08,0,1.500022605803473e-08,0,1.500022605803473e-08,1,1.500022605803473e-08,0,1.500022605803473e-08,0,1.500022605803473e-08,0,1.500022605803473e-08,8.312829093716867e-05,1.500022605803473e-08,0.0005204385113839738,1.500022605803473e-08,1.027773039607597e-06,1.500022605803473e-08,0.0002269200364947519,1.500022605803473e-08,0
1.500023157029743e-08,1,1.500023157029743e-08,1,1.500023157029743e-08,0,1.500023157029743e-08,0,1.500023157029743e-08,1,1.500023157029743e-08,0,1.500023157029743e-08,0,1.500023157029743e-08,0,1.500023157029743e-08,8.525970125287632e-05,1.500023157029743e-08,0.000532071193296858,1.500023157029743e-08,1.051509339314378e-06,1.500023157029743e-08,0.0002313568104256749,1.500023157029743e-08,0
1.500024259482283e-08,1,1.500024259482283e-08,1,1.500024259482283e-08,0,1.500024259482283e-08,0,1.500024259482283e-08,1,1.500024259482283e-08,0,1.500024259482283e-08,0,1.500024259482283e-08,0,1.500024259482283e-08,8.957896125250971e-05,1.500024259482283e-08,0.0005556048785118119,1.500024259482283e-08,1.099004903795031e-06,1.500024259482283e-08,0.0002405501160410367,1.500024259482283e-08,0
