/in X,/in Y,/output X,/output Y
1.010145522167429e-08,1,1.010145522167429e-08,0.001640885052555324
1.010300745812686e-08,1,1.010300745812686e-08,0.0005492998520151093
1.010611193103201e-08,1,1.010611193103201e-08,6.520376506021759e-07
1.011024962269813e-08,1,1.011024962269813e-08,-4.813871434045797e-06
1.011648005541999e-08,1,1.011648005541999e-08,1.863762189786606e-06
1.012759229694404e-08,1,1.012759229694404e-08,-1.021077327643863e-06
1.014981677999213e-08,1,1.014981677999213e-08,8.366956914895506e-07
1.019426574608832e-08,1,1.019426574608832e-08,-6.779439732823854e-07
1.028316367828069e-08,1,1.028316367828069e-08,6.941434160455164e-07
1.046095954266544e-08,1,1.046095954266544e-08,-6.127983438426065e-07
1.081655127143494e-08,1,1.081655127143494e-08,6.629835462878536e-07
1.152773472897394e-08,1,1.152773472897394e-08,-5.975577918424837e-07
1.232773472897394e-08,1,1.232773472897394e-08,6.535082702048027e-07
1.312773472897394e-08,1,1.312773472897394e-08,-5.887134830474286e-07
1.392773472897394e-08,1,1.392773472897394e-08,6.447330810883396e-07
1.446386736448697e-08,1,1.446386736448697e-08,-5.778846943597817e-07
1.5e-08,1,1.5e-08,6.318910598548059e-07
1.50015625e-08,0.9843749999999906,1.50015625e-08,-0.002239280709546463
1.50046875e-08,0.9531249999999882,1.50046875e-08,-0.004471200287196049
1.50109375e-08,0.8906249999999836,1.50109375e-08,-0.004907559514173571
1.501774466970082e-08,0.822553302991781,1.501774466970082e-08,-0.006039505520241554
1.502578295473249e-08,0.7421704526751443,1.502578295473249e-08,-0.008066439523369523
1.504185952479581e-08,0.581404752041871,1.504185952479581e-08,-0.01548540426850804
1.50455670181234e-08,0.5443298187659753,1.50455670181234e-08,-0.01667616372750553
1.505298200477858e-08,0.4701799522141837,1.505298200477858e-08,-0.001991840034666655
1.505757694520977e-08,0.4242305479023563,1.505757694520977e-08,0.03458588515253008
1.506266814548583e-08,0.3733185451416741,1.506266814548583e-08,0.1342427710894783
1.506657422264987e-08,0.3342577735012661,1.506657422264987e-08,0.2638812843047636
1.507130248502263e-08,0.2869751497737149,1.507130248502263e-08,0.4882398267533635
1.507431640004452e-08,0.2568359995548414,1.507431640004452e-08,0.6626274825720568
1.507638246371118e-08,0.2361753628882493,1.507638246371118e-08,0.7856505245562424
1.507812774870548e-08,0.2187225129451768,1.507812774870548e-08,0.8762680710946362
1.508005443981628e-08,0.1994556018372439,1.508005443981628e-08,0.9389423557846609
1.508167718096844e-08,0.1832281903156225,1.508167718096844e-08,0.9635853919905779
1.508322221921743e-08,0.167777807825724,1.508322221921743e-08,0.9760624520166064
1.508489870797601e-08,0.1510129202399326,1.508489870797601e-08,0.9838414776207511
1.50870564195943e-08,0.1294358040570098,1.50870564195943e-08,0.9890367290485351
1.509006171827489e-08,0.09938281725110187,1.509006171827489e-08,0.9921792760443554
1.509380579871046e-08,0.06194201289545609,1.509380579871046e-08,0.9935151385652642
1.509690289935523e-08,0.03097100644771944,1.509690289935523e-08,0.9939518306246681
1.51e-08,0,1.51e-08,0.9942600481611805
1.510002419609879e-08,0,1.510002419609879e-08,0.9943170370728684
1.510007258829637e-08,0,1.510007258829637e-08,0.9944407874969621
1.510016937269153e-08,0,1.510016937269153e-08,0.9946838194894267
1.51002177648891e-08,0,1.51002177648891e-08,0.9947999617899439
1.510031454928426e-08,0,1.510031454928426e-08,0.9950271490382621
1.510050811807457e-08,0,1.510050811807457e-08,0.9954493450451163
1.510060490246973e-08,0,1.510060490246973e-08,0.9956478322080469
1.510079847126004e-08,0,1.510079847126004e-08,0.9960179645310201
1.510118560884067e-08,0,1.510118560884067e-08,0.9966679118980074
1.510195988400191e-08,0,1.510195988400191e-08,0.997672254125556
1.510234702158254e-08,0,1.510234702158254e-08,0.9980523038979721
1.510312129674379e-08,0,1.510312129674379e-08,0.9986397898965154
1.510466984706628e-08,0,1.510466984706628e-08,0.9993519199930617
1.510776694771128e-08,0,1.510776694771128e-08,0.9998899690658655
1.51135896428233e-08,0,1.51135896428233e-08,1.000017947848155
1.512189899579297e-08,0,1.512189899579297e-08,0.9999929494645358
1.513592855320298e-08,0,1.513592855320298e-08,1.000003742798512
1.5163987668023e-08,0,1.5163987668023e-08,0.9999971214280042
1.522010589766303e-08,0,1.522010589766303e-08,1.000002410110871
1.533234235694309e-08,0,1.533234235694309e-08,0.9999976629472973
1.555681527550321e-08,0,1.555681527550321e-08,1.000002165194246
1.600576111262346e-08,0,1.600576111262346e-08,0.9999977795056444
1.680576111262346e-08,0,1.680576111262346e-08,1.0000021060411
1.760576111262346e-08,0,1.760576111262346e-08,0.9999978213896522
1.840576111262346e-08,0,1.840576111262346e-08,1.000002064614456
1.920576111262346e-08,0,1.920576111262346e-08,0.9999978623588855
2e-08,0,2e-08,1.000002023954837
2.00015625e-08,0.01562500000000117,2.00015625e-08,1.002624991769054
2.00046875e-08,0.04687500000000352,2.00046875e-08,1.00556077808385
2.00109375e-08,0.1093750000000082,2.00109375e-08,1.006421811407242
2.001811763407307e-08,0.1811763407306662,2.001811763407307e-08,1.007306507250912
2.00259423865216e-08,0.2594238652159935,2.00259423865216e-08,1.009097666252043
2.004159189141867e-08,0.4159189141866479,2.004159189141867e-08,1.015661457993945
