/output X,/output Y,/b X,/b Y,/a X,/a Y
1.511382712933238e-08,-0.0229064109090842,1.511382712933238e-08,0,1.511382712933238e-08,0.7588475288825119
1.511726665098653e-08,-0.03113349360330428,1.511726665098653e-08,0,1.511726665098653e-08,0.7817776732435254
1.512003093293976e-08,-0.03927746922561511,1.512003093293976e-08,0,1.512003093293976e-08,0.8002062195983782
1.512343990942815e-08,-0.04863742517246163,1.512343990942815e-08,0,1.512343990942815e-08,0.822932729521034
1.512583318936854e-08,-0.05391590521333868,1.512583318936854e-08,0,1.512583318936854e-08,0.8388879291236383
1.512837440841285e-08,-0.05508856576135886,1.512837440841285e-08,0,1.512837440841285e-08,0.855829389419023
1.512973421946952e-08,-0.0477305956357752,1.512973421946952e-08,0,1.512973421946952e-08,0.8648947964634797
1.513140445141059e-08,-0.01419033214907973,1.513140445141059e-08,0,1.513140445141059e-08,0.8760296760706098
1.513294619087618e-08,0.04672222642275538,1.513294619087618e-08,0,1.513294619087618e-08,0.8863079391745287
1.513511299298935e-08,0.168997317045373,1.513511299298935e-08,0,1.513511299298935e-08,0.9007532865956468
1.513724746714623e-08,0.312830751124178,1.513724746714623e-08,0,1.513724746714623e-08,0.914983114308178
1.513922927544376e-08,0.4525130623355574,1.513922927544376e-08,0,1.513922927544376e-08,0.9281951696250749
1.514133995704508e-08,0.5966169639750162,1.514133995704508e-08,0,1.514133995704508e-08,0.9422663803005564
1.514368800313487e-08,0.732624676563959,1.514368800313487e-08,0,1.514368800313487e-08,0.9579200208991547
1.514582135720095e-08,0.8178085369440813,1.514582135720095e-08,0,1.514582135720095e-08,0.9721423813396882
1.514800771917869e-08,0.8735130210915464,1.514800771917869e-08,0,1.514800771917869e-08,0.9867181278579461
1.515e-08,0.9084243905628706,1.515e-08,0,1.515e-08,1
1.515000888264601e-08,0.9085528682821666,1.515000888264601e-08,0,1.515000888264601e-08,1
1.515002664793802e-08,0.908810900612209,1.515002664793802e-08,0,1.515002664793802e-08,1
1.515003553058403e-08,0.9089402860950622,1.515003553058403e-08,0,1.515003553058403e-08,1
1.515005329587604e-08,0.9091979648695436,1.515005329587604e-08,0,1.515005329587604e-08,1
1.515008882646007e-08,0.9097115182652561,1.515008882646007e-08,0,1.515008882646007e-08,1
1.515015988762812e-08,0.9107306130098478,1.515015988762812e-08,0,1.515015988762812e-08,1
