/a X,/a Y,/b X,/b Y,/output X,/output Y
2.51e-08,0,2.51e-08,0,2.51e-08,2.757361422039833e-05
2.510162245323464e-08,0,2.510162245323464e-08,0,2.510162245323464e-08,0.0001381196357313514
2.510486735970391e-08,0,2.510486735970391e-08,0,2.510486735970391e-08,0.0001478256093851051
2.511135717264245e-08,0,2.511135717264245e-08,0,2.511135717264245e-08,-2.131209919633574e-05
2.512317146472688e-08,0,2.512317146472688e-08,0,2.512317146472688e-08,9.728642991282277e-06
2.513560692332817e-08,0,2.513560692332817e-08,0,2.513560692332817e-08,-6.054307690164817e-06
2.516047784053075e-08,0,2.516047784053075e-08,0,2.516047784053075e-08,4.647094666599875e-06
2.521021967493591e-08,0,2.521021967493591e-08,0,2.521021967493591e-08,-3.988086485494455e-06
2.530970334374622e-08,0,2.530970334374622e-08,0,2.530970334374622e-08,3.799614212977946e-06
2.550867068136686e-08,0,2.550867068136686e-08,0,2.550867068136686e-08,-3.602626976186176e-06
2.590660535660813e-08,0,2.590660535660813e-08,0,2.590660535660813e-08,3.615614115196669e-06
2.670247470709068e-08,0,2.670247470709068e-08,0,2.670247470709068e-08,-3.512713451058123e-06
2.790247470709068e-08,0,2.790247470709068e-08,0,2.790247470709068e-08,3.566367485827236e-06
2.910247470709068e-08,0,2.910247470709068e-08,0,2.910247470709068e-08,-3.473734485931025e-06
3e-08,0,3e-08,0,3e-08,3.521139751122464e-06
3.000156249999999e-08,0.01041666666664539,3.000156249999999e-08,0.015624999999935,3.000156249999999e-08,0.0002335836232906848
3.000468749999999e-08,0.03124999999993617,3.000468749999999e-08,0.04687499999987117,3.000468749999999e-08,0.0002730808135125511
3.001093749999997e-08,0.07291666666651773,3.001093749999997e-08,0.1093749999997435,3.001093749999997e-08,-2.731240108146397e-05
3.001969324441969e-08,0.1312882961312614,3.001969324441969e-08,0.196932444196859,3.001969324441969e-08,5.611783536296598e-05
3.002907019574221e-08,0.1938013049480616,3.002907019574221e-08,0.2907019574220592,3.002907019574221e-08,4.582925968757553e-05
3.004782409838725e-08,0.3188273225816619,3.004782409838725e-08,0.4782409838724597,3.004782409838725e-08,0.0001426048005511517
